ID,MTEvents_stable,MTEvents_unstable,Mass_0,Mass_1,Semimajor,Eccentricity,Merge
6158,0,1,11.33334,11.46574,40.85419,0.0,0
6468,0,1,7.188426,1.208804,31.89727,0.0,0
6579,0,1,6.908933,11.7631,56.61475,0.0,0
6638,0,1,8.967842,13.79339,654.5761,0.0,0
6729,0,1,11.38359,8.847094,220.3705,0.0,0
6837,0,1,14.98893,4.851621,98.21874,0.0,0
6964,0,1,8.555044,2.197176,44.88217,0.0,0
7021,0,1,7.57018,3.819016,103.9068,0.0,0
7066,1,0,18.66463,6.555881,110.8654,0.0,0
7074,0,1,8.201153,2.772122,209.5857,0.0,0
7167,0,1,13.46147,11.62741,900.4735,0.0,0
7222,1,0,17.51369,3.564955,1443.364,0.0,0
7319,1,0,13.54364,17.97737,291.5585,0.0,0
7347,1,0,19.75113,19.61204,411.8339,0.0,0
7626,0,1,13.20033,14.53118,330.5217,0.0,0
7629,0,1,6.966447,6.704323,62.59304,0.0,0
7962,1,0,7.865805,1.43316,604.1174,0.0,0
8113,1,0,17.22987,3.641824,622.0941,0.0,0
8168,0,1,12.06242,7.980081,263.2059,0.0,0
8274,0,1,7.41904,4.19479,40.17554,0.0,0
8279,0,1,11.90075,16.50479,234.5212,0.0,0
8394,0,1,7.221393,8.385031,43.5039,0.0,0
8798,1,0,7.504142,2.116553,183.7352,0.0,0
9110,1,0,21.67225,14.72022,395.7661,0.0,0
9161,0,1,7.667012,2.978953,152.4715,0.0,0
9311,0,1,11.97353,9.958636,31.28557,0.0,0
9362,1,0,14.90634,23.25245,71.51598,0.0,0
9373,0,1,19.34143,6.286089,223.1701,0.0,0
9488,0,1,15.46066,8.870072,149.0895,0.0,0
9513,0,1,8.57173,12.92301,88.04782,0.0,0
9607,0,1,12.82805,10.51644,43.25284,0.0,0
9895,0,1,14.12654,11.98817,354.5404,0.0,0
10142,1,0,17.28498,19.48549,397.2874,0.0,0
10189,0,1,13.49522,5.219967,84.11088,0.0,0
10469,0,1,20.42337,12.7227,274.2288,0.0,0
10740,1,0,7.673349,0.809593,954.6365,0.0,0
10806,1,0,20.51311,21.30021,425.8209,0.0,0
10850,1,0,22.67599,9.805812,107.5068,0.0,0
10902,1,0,22.73353,25.95563,15.29647,0.0,1
10925,1,0,7.372313,1.082357,40.30083,0.0,0
11187,0,1,7.96179,5.081671,23.94522,0.0,0
11390,1,0,8.688256,1.00143,1382.74,0.0,0
11440,1,0,19.63326,20.4673,290.999,0.0,0
11478,0,1,19.83497,13.71015,482.144,0.0,0
11482,0,1,7.651222,5.944458,20.09278,0.0,0
