ID,MTEvents_stable,MTEvents_unstable,PhaseBSE_0,Mass_0,Mass_1,Semimajor,Eccentricity,Merge,Mass_0_initial,Mass_1_initial,a,e
3636069.0,1,0,14.0,19.17588,17.25944,202.1121,0.0,0,73.104,43.711,455.0,0.384
1631247.0,1,0,14.0,19.41028,3.944395,1288.161,0.0,0,77.198,13.801,154.0,0.339
1991883.0,0,1,14.0,7.76494,2.243382,37.40285,0.0,0,33.918,10.511,270.0,0.0267
2738741.0,0,1,14.0,7.719029,2.478521,74.56931,0.0,0,22.386,11.27,2780.0,0.199
738748.0,0,1,14.0,8.034143,2.171792,49.87389,0.0,0,34.932,10.16,328.0,0.413
3495066.0,0,1,14.0,19.38724,8.227186,363.5183,0.0,0,77.137,24.158,381.0,0.0136
135082.0,0,1,14.0,8.428414,1.594383,36.93052,0.0,0,36.497,8.212,261.0,0.299
1122933.0,0,1,14.0,6.966522,5.139824,20.80907,0.0,0,32.646,14.793,116.0,0.342
2835254.0,0,1,14.0,7.923891,8.507516,246.2029,0.0,0,34.507,24.957,771.0,8.58e-05
2975230.0,0,1,14.0,11.46612,2.530803,61.34581,0.0,0,46.41,8.398,290.0,0.518
196006.0,0,1,14.0,7.683093,2.01357,36.41074,0.0,0,33.62,9.325,150.0,0.00594
1544320.0,0,1,14.0,7.126123,1.676176,31.94833,0.0,0,31.601,8.459,234.0,0.355
2432002.0,0,1,14.0,13.47013,5.012014,50.4805,0.0,0,53.944,14.029,240.0,0.488
3946552.0,0,1,14.0,14.24537,13.10248,331.2363,0.0,0,55.305,31.81,615.0,0.572
429492.0,0,1,14.0,11.8433,4.611047,94.1389,0.0,0,47.451,13.338,325.0,0.424
586003.0,0,1,14.0,18.2857,8.45814,127.5466,0.0,0,65.886,23.824,200.0,0.000788
1606595.0,0,1,14.0,17.89232,4.930993,157.1728,0.0,0,63.528,16.725,219.0,0.013
2040821.0,0,1,14.0,15.88684,15.02005,486.0568,0.0,0,52.307,38.797,1910.0,0.445
2838445.0,0,1,14.0,7.458118,2.914438,39.52542,0.0,0,32.78,11.519,132.0,0.0754
1301381.0,0,1,14.0,9.411478,13.83866,1047.371,0.0,0,33.782,29.535,1610.0,0.182
1511785.0,0,1,14.0,6.908826,2.243452,38.87594,0.0,0,30.753,10.728,2950.0,0.625
2229298.0,1,0,14.0,7.428114,1.614786,282.5898,0.0,0,32.684,7.71,137.0,0.0123
2903490.0,0,1,14.0,19.81933,13.24279,157.4085,0.0,1,82.769,34.822,303.0,0.147
3793536.0,0,1,14.0,11.10882,11.02241,172.8831,0.0,0,42.202,27.003,620.0,0.175
1293717.0,0,1,14.0,18.19843,13.6762,324.8266,0.0,0,64.98,34.614,212.0,0.00731
1236490.0,0,1,14.0,9.107263,1.328659,54.50352,0.0,0,38.98,7.722,1120.0,0.308
2724649.0,1,0,14.0,7.850285,0.7498847,981.9813,0.0,0,34.019,3.715,923.0,0.382
2054293.0,0,1,14.0,7.098646,2.590498,226.0201,0.0,0,31.387,11.565,4940.0,0.695
4090784.0,1,0,14.0,14.66992,22.22862,178.8207,0.0,0,57.21,46.101,212.0,0.00455
2301255.0,0,1,14.0,19.80536,10.64489,207.5656,0.0,0,83.616,28.264,164.0,0.0174
3932587.0,0,1,14.0,14.80134,2.754827,94.80538,0.0,0,54.431,10.667,701.0,0.448
309821.0,0,1,14.0,13.11934,4.931747,110.0766,0.0,0,52.191,14.145,278.0,0.32
350353.0,1,0,14.0,7.393014,0.7499928,213.03,0.0,0,36.687,27.187,212.0,0.521
2162884.0,0,1,14.0,13.96616,4.16505,112.8555,0.0,0,55.146,12.697,228.0,0.312
714934.0,0,1,14.0,6.926573,9.367959,100.874,0.0,0,30.843,26.212,206.0,0.112
3640499.0,0,1,14.0,7.61364,0.8607091,35.09476,0.0,0,33.353,5.773,686.0,0.208
1866453.0,0,1,14.0,20.46194,12.76261,473.7554,0.0,0,92.03,34.056,434.0,0.424
3264385.0,1,0,14.0,11.42374,1.409128,637.1911,0.0,0,46.643,6.219,251.0,0.328
710632.0,1,0,14.0,19.47415,1.764749,414.0365,0.0,0,73.759,19.427,181.0,0.109
4061524.0,0,1,14.0,11.54084,9.937132,445.3738,0.0,0,36.728,25.789,2050.0,0.489
833185.0,1,0,14.0,20.14337,3.486479,51.66054,0.1448922,0,80.316,53.267,237.0,0.705
2038256.0,0,1,14.0,8.72723,1.6751,43.63572,0.0,0,37.57,8.855,568.0,0.133
1397145.0,1,0,14.0,16.45908,21.39542,353.3161,0.0,0,60.925,46.709,272.0,0.000682
1546592.0,1,0,14.0,22.60391,14.96005,299.6632,0.0,0,114.291,35.625,149.0,0.0281
3592666.0,0,1,14.0,8.249684,2.532663,56.94368,0.0,0,35.778,11.56,983.0,0.288
1042365.0,0,1,14.0,6.939638,1.028392,38.52867,0.0,0,30.905,6.538,1250.0,0.277
524109.0,0,1,14.0,8.657147,6.583268,155.6826,0.0,0,37.335,20.663,737.0,0.282
1965301.0,0,1,14.0,7.152317,6.08218,167.8207,0.0,0,31.69,19.795,1220.0,0.00289
1094643.0,0,1,14.0,7.080447,7.580719,58.35331,0.0,0,31.398,22.557,338.0,0.414
1379748.0,0,1,14.0,7.626964,3.858326,22.74775,0.0,0,35.0,12.476,120.0,0.0218
2866593.0,0,1,14.0,8.562773,2.996817,68.62229,0.0,0,36.983,12.39,399.0,0.409
659180.0,1,0,14.0,17.94393,21.41778,155.7312,0.0,0,63.835,47.951,406.0,0.726
2723267.0,0,1,14.0,11.42907,5.320608,233.9616,0.0,0,35.439,17.702,4290.0,0.0169
3437139.0,0,1,14.0,11.71118,13.4933,223.8048,0.0,0,45.15,32.153,492.0,0.226
55134.0,1,0,14.0,7.875853,1.155499,129.0648,0.0,0,33.736,27.62,224.0,0.448
4055751.0,0,1,14.0,7.486524,7.755873,139.1295,0.0,0,41.128,15.727,429.0,0.324
3308498.0,0,1,14.0,8.412306,1.884259,91.99587,0.0,0,36.421,9.374,452.0,0.322
3478159.0,0,1,14.0,7.693933,1.806409,33.5768,0.0,0,33.657,9.379,1210.0,0.555
3700213.0,0,1,14.0,11.25512,2.490406,49.61353,0.0,0,43.717,9.031,601.0,0.394
358734.0,0,1,14.0,12.37413,11.59697,43.69533,0.0,0,49.962,26.617,163.0,0.167
3277285.0,0,1,14.0,7.129591,7.589315,61.46085,0.0,0,31.582,22.263,453.0,0.692
2919436.0,0,1,14.0,11.14101,9.975974,281.4553,0.0,0,37.681,26.028,1160.0,0.159
3335686.0,1,0,14.0,8.038591,0.804204,724.2855,0.0,0,34.536,3.51,159.0,0.318
449498.0,0,1,14.0,7.353456,0.8397795,35.49121,0.0,0,32.414,5.389,427.0,0.521
2830400.0,0,1,14.0,7.547378,1.090765,37.48939,0.0,0,32.824,6.808,2770.0,0.224
2370392.0,0,1,14.0,12.56558,9.567973,121.516,0.0,0,50.596,22.152,277.0,0.569
2556441.0,0,1,14.0,15.08836,9.083852,559.2922,0.0,0,49.79,25.317,1840.0,0.53
3705921.0,0,1,14.0,12.6202,3.188734,67.71772,0.0,0,50.308,10.243,298.0,0.293
510592.0,0,1,14.0,15.43471,3.586082,359.4402,0.0,0,28.979,13.424,6830.0,0.666
917982.0,0,1,14.0,7.362038,4.109565,69.57685,0.0,0,32.456,14.595,257.0,0.531
3459667.0,0,1,14.0,23.15171,11.63885,258.7049,0.0,0,129.93,31.588,352.0,0.192
3468102.0,0,1,14.0,7.688734,6.187368,164.7147,0.0,0,33.638,20.015,2200.0,0.00341
4094623.0,1,0,14.0,7.10585,0.9280729,1548.112,0.0,0,31.147,5.971,2690.0,0.0366
85697.0,0,1,14.0,7.315149,8.536487,111.2789,0.0,0,32.257,25.015,698.0,0.394
1989641.0,0,1,14.0,7.192031,3.473864,24.87757,0.0,0,32.139,12.125,104.0,0.114
3296243.0,0,1,14.0,8.221541,7.034492,82.62219,0.0,0,35.656,20.942,254.0,0.28
677448.0,0,1,14.0,12.09267,2.320667,55.91094,0.0,0,48.864,7.737,189.0,0.342
1006463.0,1,0,14.0,19.90311,4.493153,185.9356,0.0,0,84.986,19.772,137.0,0.428
1228369.0,0,1,14.0,9.201393,5.768166,120.5807,0.0,0,39.019,13.759,412.0,0.25
1915157.0,1,0,14.0,19.53116,14.01883,121.246,0.0,0,78.137,36.41,393.0,0.497
1988429.0,0,1,14.0,13.2595,11.91478,143.7146,0.0,0,53.268,26.656,180.0,0.315
3799375.0,1,0,14.0,7.324156,0.7038034,131.4579,0.0,0,35.203,25.535,112.0,0.172
3325264.0,1,0,14.0,14.12768,18.23691,292.3531,0.0,0,55.438,39.223,258.0,0.0558
433789.0,0,1,14.0,21.5436,11.50144,206.43,0.0,0,99.941,29.666,142.0,0.0948
1901895.0,0,1,14.0,16.76123,8.866994,275.9464,0.0,0,58.048,25.066,1910.0,0.712
2152170.0,0,1,14.0,6.955699,3.175955,43.90634,0.0,0,30.943,12.835,402.0,0.597
3518329.0,1,0,14.0,7.086892,0.5336992,721.4711,0.0,0,20.759,2.481,2740.0,0.0567
1431719.0,0,1,14.0,11.65402,10.48683,66.59906,0.0,0,49.439,23.253,512.0,0.808
2475173.0,0,1,14.0,7.428614,8.751774,112.9099,0.0,0,32.673,24.688,188.0,0.0279
611638.0,0,1,14.0,8.832184,4.321974,107.9299,0.0,0,37.996,15.754,757.0,0.125
4051272.0,0,1,14.0,8.1463,8.129594,132.8445,0.0,0,35.356,24.199,858.0,0.385
1103804.0,1,0,14.0,14.91446,1.943766,954.1758,0.0,0,60.551,8.393,197.0,0.00272
2988944.0,1,0,14.0,18.15193,2.977384,881.4982,0.0,0,65.236,11.64,141.0,0.0299
607060.0,0,1,14.0,12.78689,8.116937,1172.788,0.0,0,44.576,21.583,7310.0,0.87
1393708.0,1,0,14.0,18.17815,15.50102,283.5986,0.0,0,65.016,40.312,347.0,0.52
1864614.0,0,1,14.0,8.130182,3.27624,75.97249,0.0,0,35.299,13.493,868.0,0.282
2925440.0,0,1,14.0,10.49519,7.292448,170.7313,0.0,0,41.355,18.764,605.0,0.25
1846641.0,0,1,14.0,7.703073,13.44584,77.84874,0.0,0,34.362,26.404,205.0,0.533
2517472.0,0,1,14.0,7.693804,2.423406,48.02208,0.0,0,33.654,10.648,203.0,0.283
669861.0,0,1,14.0,14.39637,2.838586,75.18573,0.0,0,57.214,9.862,354.0,0.577
1157161.0,0,1,14.0,8.453155,3.786879,637.3762,0.0,0,36.279,12.118,2140.0,0.0803
344552.0,0,1,14.0,7.012708,6.74974,73.66514,0.0,0,31.166,20.787,251.0,0.0421
2823808.0,1,0,14.0,8.393062,0.5428624,260.6706,0.0,0,32.838,6.828,373.0,0.422
1650381.0,0,1,14.0,8.221125,1.782807,58.80363,0.0,0,35.671,9.08,317.0,0.16
3262276.0,0,1,14.0,23.04876,8.66965,201.5206,0.0,0,127.872,24.268,446.0,0.814
2508609.0,0,1,14.0,17.05843,6.672326,392.1856,0.0,0,57.985,20.798,1100.0,0.0207
2524058.0,0,1,14.0,15.83834,14.45556,525.8049,0.0,0,59.156,35.788,613.0,0.417
3421923.0,0,1,14.0,6.982961,1.65378,32.60474,0.0,0,31.056,8.384,156.0,0.0385
522813.0,1,0,14.0,11.99094,19.40565,192.1085,0.05321801,0,47.733,39.89,199.0,0.00657
1546241.0,0,1,14.0,10.67245,12.02503,253.6025,0.0,0,39.941,30.842,1420.0,0.037
1778262.0,0,1,14.0,12.62508,5.38635,456.0849,0.0,0,45.002,17.122,705.0,0.088
1779733.0,0,1,14.0,12.48916,13.44737,191.0881,0.0,0,49.51,31.107,376.0,0.355
3363335.0,1,0,14.0,15.20313,21.81025,191.1972,0.0,0,58.968,46.435,252.0,0.048
3382113.0,0,1,14.0,7.52543,7.086636,67.59342,0.0,0,33.033,20.375,140.0,0.209
2111190.0,0,1,14.0,7.5346,4.336124,53.78089,0.0,0,33.067,15.281,224.0,0.299
3297389.0,0,1,14.0,6.907178,4.990655,75.2997,0.0,0,30.777,17.225,908.0,0.708
3862355.0,0,1,14.0,7.713674,3.830957,52.61667,0.0,0,33.719,14.701,384.0,0.123
4037386.0,1,0,14.0,20.22308,18.9695,212.3467,0.0,0,87.761,41.637,262.0,0.725
2002062.0,0,1,14.0,9.467594,13.20808,209.4712,0.0,0,35.678,28.747,1030.0,0.42
822331.0,0,1,14.0,11.71333,11.36266,186.944,0.0,0,46.764,26.729,347.0,0.363
2342268.0,0,1,14.0,7.135168,7.190166,54.70889,0.0,0,31.606,20.744,227.0,0.612
3136022.0,0,1,14.0,17.60555,10.81161,128.5297,0.0,0,61.804,28.958,331.0,0.00192
3161182.0,1,0,14.0,20.52315,21.93924,194.2399,0.0,0,91.327,50.074,221.0,0.0246
3971752.0,0,1,14.0,7.736539,5.681081,22.26992,0.0,0,33.775,18.143,171.0,0.0343
1154265.0,0,1,14.0,16.77062,12.57397,564.1637,0.0,0,58.167,33.288,1250.0,0.53
1524016.0,0,1,14.0,8.558055,3.041917,73.78697,0.0,0,36.974,12.621,362.0,0.104
3540195.0,1,0,14.0,18.57851,17.81719,259.0013,0.0,0,67.172,40.318,153.0,0.0608
1729315.0,0,1,14.0,22.29825,12.06551,286.618,0.0,0,112.551,31.896,268.0,0.449
1087838.0,1,0,14.0,7.292811,0.8174627,771.3929,0.0,0,27.099,4.707,5680.0,0.694
1831894.0,1,0,14.0,12.56248,1.799268,798.8582,0.0,0,50.924,6.947,229.0,0.0548
2549320.0,1,1,14.0,6.957506,0.8518962,18.03541,0.0,0,30.959,5.132,136.0,0.0699
3309564.0,0,1,14.0,8.147417,5.915418,101.385,0.0,0,35.376,18.637,244.0,0.286
232979.0,1,0,14.0,14.91297,2.252959,954.5268,0.0,0,60.321,7.966,294.0,0.256
1148441.0,0,1,14.0,12.54375,13.51267,162.8175,0.0,0,50.395,29.532,179.0,0.0581
1177373.0,0,1,14.0,11.3854,9.478254,440.9636,0.0,0,41.529,26.094,2120.0,0.546
2829824.0,1,0,14.0,13.02708,18.91651,136.1008,0.0,0,55.617,38.001,426.0,0.801
3625634.0,0,1,14.0,12.82707,12.98885,222.2172,0.0,0,47.592,31.443,550.0,0.118
146986.0,0,1,14.0,7.78843,1.82745,36.56517,0.0,0,34.005,9.128,289.0,0.311
3520688.0,0,1,14.0,11.11752,3.967694,40.55571,0.0,0,43.559,12.399,424.0,0.269
4161090.0,0,1,14.0,21.227,9.31327,226.3033,0.0,0,97.832,25.235,147.0,0.0047
395007.0,0,1,14.0,9.708628,10.80923,144.6918,0.0,0,38.451,24.751,489.0,0.0375
1752882.0,0,1,14.0,8.26038,3.592284,90.44919,0.0,0,23.323,14.125,3830.0,0.156
238330.0,1,1,14.0,7.113471,0.8892056,21.32385,0.0,0,31.554,5.817,276.0,0.0948
2593769.0,1,0,14.0,13.06139,2.179004,350.4378,0.0,0,51.746,7.298,372.0,0.682
3896626.0,0,1,14.0,13.62535,12.61729,296.7293,0.0,0,50.125,30.772,522.0,0.0038
101631.0,0,1,14.0,18.01767,9.402822,159.4977,0.0,0,64.302,25.177,182.0,0.0657
2055641.0,0,1,14.0,13.90582,2.461759,84.40541,0.0,0,53.568,9.114,375.0,0.00464
12106.0,0,1,14.0,7.267022,7.231272,106.2946,0.0,0,32.092,21.548,189.0,0.055
625366.0,1,0,14.0,21.39627,18.14764,407.3899,0.0,0,98.406,41.005,177.0,0.105
2654046.0,0,1,14.0,7.365079,8.724875,196.0523,0.0,0,32.459,25.395,2210.0,0.618
771362.0,0,1,14.0,11.38698,10.48192,210.4969,0.0,0,44.566,25.483,479.0,0.288
1973609.0,0,1,14.0,7.587372,6.457301,76.82732,0.0,0,33.244,19.734,223.0,0.355
2431363.0,1,0,14.0,23.09648,15.65214,389.1284,0.0,0,128.017,41.497,634.0,0.162
2783507.0,0,1,14.0,12.50839,14.21947,1733.196,0.0,0,43.983,36.327,1610.0,0.0344
3462550.0,0,1,14.0,7.607472,2.653565,47.1332,0.0,0,33.345,11.621,353.0,0.319
3969708.0,0,1,14.0,12.79677,4.82171,57.88078,0.0,0,51.218,13.411,195.0,0.292
360894.0,1,0,14.0,8.579647,15.15122,132.6312,0.0,0,40.747,31.405,344.0,0.0025
1460679.0,0,1,14.0,14.9483,11.74748,176.6101,0.0,0,57.794,29.076,583.0,0.652
2123691.0,0,1,14.0,11.59017,4.113761,71.09137,0.0,0,47.216,11.549,158.0,0.159
2472054.0,1,0,14.0,17.57334,13.54938,79.76805,0.0,0,64.048,31.751,189.0,0.511
