ID,MTEvents_stable,MTEvents_unstable,Mass_0,Mass_1,Semimajor,Eccentricity,Merge
930205,1,0,11.16639,1.499967,124.6038,0.0,0
950056,1,0,41.93836,5.822973,160.5468,0.0,0
980217,1,0,9.790796,0.7594014,173.1583,0.0,0
990050,1,0,33.17528,1.813016,688.6676,0.0,0
990061,1,0,10.42818,6.62235,4.904023,0.0,0
990104,1,0,18.34455,2.689218,122.1557,0.0,0
1000081,1,0,31.3334,28.67733,89.15969,0.0,0
1020016,1,0,11.77367,0.8499431,195.6705,0.0,0
1020084,1,0,7.734334,0.7184516,384.4373,0.0,0
1030249,1,0,7.969461,0.8541698,373.7673,0.0,0
1040233,1,0,14.53374,4.980526,52.10519,0.0,0
1060010,1,0,13.39398,13.31658,14.68612,0.0,1
1070143,1,0,17.84956,12.28859,15.06242,0.0,1
1090133,1,0,39.84251,45.95805,110.3058,0.0,0
1100166,1,0,33.10575,14.58838,21.74728,0.0,1
1110077,1,0,9.868696,5.226938,4.830387,0.0,0
1110218,1,0,10.55517,8.397984,8.208227,0.0,1
1110242,1,0,20.11739,6.161372,218.6043,0.0,0
1130021,1,0,20.29251,14.33245,39.50358,0.0,0
1130094,1,0,21.72006,5.488741,251.5885,0.0,0
1130241,1,0,8.324392,4.816453,10.96226,0.0,0
1160188,1,0,44.49195,15.14493,82.12604,0.0,0
1160249,1,0,20.13363,5.068165,210.9326,0.0,0
1170031,1,0,9.478244,7.558763,2.505754,0.0,0
1170046,1,0,43.41027,54.43747,263.6697,0.0,0
1170146,1,0,8.56988,1.043278,134.0141,0.0,0
1170248,1,0,15.92729,4.248532,66.42208,0.0,0
1180144,1,0,12.81357,1.723848,124.6458,0.0,0
1200043,1,0,18.37195,7.810842,76.04633,0.0,0
1200083,2,0,16.38972,0.9060333,234.5699,0.0,0
1210015,1,0,27.10196,4.511702,430.3464,0.0,0
1210038,1,0,22.54755,5.190384,225.0688,0.0,0
1210180,0,1,19.87317,7.820195,190.2532,0.0,0
1220009,1,0,9.23862,8.823289,14.4177,0.0,0
1220060,1,0,22.58772,5.277463,330.9661,0.0,0
1220081,1,0,20.85424,16.5936,35.33939,0.0,0
1220221,1,0,13.46115,5.276433,58.22458,0.0,0
1230017,0,1,18.9265,7.4723,116.2912,0.0,0
1230044,1,0,16.3056,17.65468,6.864128,0.0,1
1230066,1,0,16.74393,3.833546,262.4001,0.0,0
1250080,1,0,25.19133,21.55938,24.2999,0.0,1
1250148,1,0,11.2155,7.331263,6.883981,0.0,0
1270046,0,1,8.147661,9.983133,4.28847,0.0,1
1270151,1,0,27.24359,30.1841,58.82135,0.0,0
1270198,1,0,39.39315,8.737169,114.0465,0.0,0
1280165,1,0,39.34917,3.471159,245.8503,0.0,0
1290012,1,0,24.0737,13.02387,65.0366,0.0,0
1290046,1,0,10.46601,5.486599,33.77627,0.0,0
1290172,1,0,39.76646,28.30801,109.9598,0.0,0
1290203,1,0,31.67088,33.85789,56.53582,0.0,0
1300054,1,0,14.54129,3.013043,106.8064,0.0,0
1300066,1,0,38.33968,39.50646,37.93328,0.0,1
1310109,1,0,32.66249,31.7543,135.6676,0.0,0
1310151,1,0,12.50625,2.244573,135.8448,0.0,0
1310172,1,0,38.00138,36.95131,29.49771,0.0,1
1310177,1,0,26.38684,29.36957,78.28825,0.0,0
1310226,1,0,22.95928,7.039379,94.28366,0.0,0
1310229,1,0,13.28484,1.297727,151.9778,0.0,0
1310232,1,0,38.90115,10.79636,106.462,0.0,0
1320238,1,0,37.94023,35.24407,92.74309,0.0,0
1350181,1,0,13.08249,12.18517,14.61027,0.0,1
1350217,1,0,17.04936,9.035621,57.31588,0.0,0
1360017,1,0,15.76578,3.040213,97.36938,0.0,0
1360182,1,0,33.16621,42.74698,104.5607,0.0,0
1360219,1,0,12.60391,5.477653,66.23576,0.0,0
1380090,1,0,22.7931,10.62077,62.32965,0.0,0
1390026,0,1,10.41983,13.00076,3.837698,0.0,1
1400055,1,0,23.41638,7.576969,89.51981,0.0,0
1400194,1,0,11.4816,3.605952,50.49113,0.0,0
1400230,1,0,8.030633,7.030119,9.117262,0.0,0
1410103,1,0,20.58491,3.314752,248.0018,0.0,0
1410238,1,0,30.86261,5.230067,246.886,0.0,0
1420196,1,0,25.98595,7.984575,123.3088,0.0,0
1430035,1,0,23.052,5.69198,104.3304,0.0,0
1440029,1,0,8.882472,1.758851,147.8786,0.0,0
1440087,1,0,28.38127,4.968278,444.3136,0.0,0
1440090,1,0,22.02729,20.91924,29.69286,0.0,1
1440244,1,0,37.80298,7.126736,133.5627,0.0,0
1450088,1,0,22.5734,3.248319,575.6842,0.0,0
1450112,1,0,16.58685,4.395103,137.7718,0.0,0
1460110,1,0,16.95154,1.180802,179.6206,0.0,0
1460163,1,0,11.28764,6.829212,32.97151,0.0,0
1470210,1,0,15.71916,7.578487,88.19861,0.0,0
1490012,0,1,7.413027,9.6741,3.134431,0.0,1
1490029,1,0,12.83682,2.921852,80.18096,0.0,0
1490072,1,0,14.28048,8.467228,44.89252,0.0,0
1500105,0,1,7.712974,9.381108,3.236493,0.0,1
1510025,1,2,7.341869,7.706502,1.986427,0.0,0
1520014,1,0,38.54603,21.19842,50.23918,0.0,1
1520026,1,0,43.31813,4.450046,200.7878,0.0,0
1520091,1,0,25.96168,6.158992,216.3205,0.0,0
1520220,1,0,22.79031,21.11089,28.98603,0.0,1
1520225,1,0,10.67411,5.604375,18.83041,0.0,0
1530056,1,0,44.88138,9.113505,97.74015,0.0,0
1530057,1,0,25.36415,3.231584,448.1739,0.0,0
1530080,0,1,7.670185,7.496076,86.66031,0.0,0
1530142,1,0,7.894943,3.69187,15.97797,0.0,0
1530223,1,0,29.96215,19.60931,53.70916,0.0,1
1540180,1,0,28.46783,30.91875,103.3907,0.0,0
1550243,1,0,22.07176,4.737004,174.0549,0.0,0
1560158,0,1,20.70413,8.022581,174.4715,0.0,0
1560159,1,0,11.82446,0.7722803,197.0399,0.0,0
1560215,1,0,17.60463,5.882228,56.6818,0.0,0
1570067,1,0,37.70224,43.34534,24.32051,0.0,1
1570119,1,0,14.13593,15.10106,7.472541,0.0,1
1580065,1,0,39.85947,37.45101,58.69702,0.0,0
1590114,1,0,10.62468,6.828246,8.544413,0.0,0
1600191,1,0,21.78527,4.552678,261.674,0.0,0
1600199,1,0,10.93292,0.9203765,154.5221,0.0,0
1610125,1,0,29.06157,9.07407,54.38148,0.0001191165,0
1630058,1,0,8.473557,3.502211,22.35792,0.0,0
1640052,1,0,11.9168,2.552292,83.87648,0.0,0
1640054,1,0,8.455807,1.10392,123.1957,0.0,0
1660246,1,0,8.924541,0.8339995,312.7538,0.0,0
1670225,1,0,12.7867,2.669548,130.345,0.0,0
1680231,1,0,34.10047,28.24207,41.25167,0.0,0
1690042,1,0,25.03825,7.313023,116.7035,0.0,0
1690123,1,0,20.97272,2.50933,509.3209,0.0,0
1710117,1,0,14.09214,3.232234,80.65292,0.0,0
1720181,1,0,21.98455,6.540107,58.49521,0.0,0
1730075,1,0,29.43434,17.00944,62.14112,0.0,0
1730076,1,0,17.96848,5.736485,112.146,0.0,0
1730101,1,0,34.59103,17.48673,62.34625,0.009996331,0
1730168,1,0,8.624562,6.833953,4.286603,0.0,0
1750015,1,0,21.56829,3.285869,514.9083,0.0,0
1750196,1,0,29.97142,6.404696,218.6801,0.0,0
1750231,1,0,15.99745,13.04273,24.47228,0.0,1
1760011,1,0,11.37867,0.9326707,437.3319,0.0,0
1760018,1,0,27.87553,24.34518,5.715136,0.0,1
1760130,1,0,35.38799,32.24605,89.22226,0.0,0
1760222,1,0,16.33649,15.79261,22.43176,0.0,1
1760240,1,0,15.98212,9.437673,30.76881,0.0,0
1770038,1,0,24.25341,14.36667,51.64836,0.0,0
1780150,1,0,19.33798,5.333841,188.9792,0.0,0
1780171,1,0,16.0448,0.8670302,211.4429,0.0,0
1790092,1,0,20.0821,16.05151,16.86312,0.0,1
1800091,1,0,19.77029,3.258864,262.761,0.0,0
1800141,1,0,17.6648,7.888433,80.00502,0.0,0
1820241,1,0,11.50949,7.432828,45.5462,0.0,0
1830053,2,0,8.574878,0.8902272,148.3792,0.0,0
1830159,1,0,19.74856,4.126791,351.9558,0.0,0
1830163,1,0,41.90927,33.03323,243.11,0.0,0
1840106,1,0,11.42363,0.7954123,189.704,0.0,0
1860244,1,0,14.73361,5.978814,64.93422,0.0,0
1870019,1,0,15.52867,9.583995,14.02618,0.0,1
1870212,1,0,22.74609,4.864765,112.6212,0.0,0
1880210,1,0,16.04191,4.592275,110.4883,0.0,0
1890125,1,0,37.78274,43.65177,76.08618,0.0,0
1890143,1,0,19.48566,4.569181,107.4458,0.0,0
1910079,1,0,33.57183,5.1691,107.3181,0.0,0
1910143,1,0,27.9313,28.3822,21.92345,0.0,1
1910158,1,0,13.9192,6.949932,73.18942,0.0,0
1920243,1,0,35.92449,40.62998,70.38859,0.0,0
1930088,1,0,9.678998,2.095084,365.9279,0.0,0
1930223,1,0,18.35951,5.043994,156.552,0.0,0
1930228,1,0,17.63835,16.78121,14.59793,0.0,1
1940054,1,0,20.66098,3.775051,364.5606,0.0,0
1940066,1,0,38.80921,47.82647,86.81787,0.0,0
1940080,0,1,10.68613,12.36492,3.16003,0.0,1
1940236,1,0,8.250776,1.048143,127.2391,0.0,0
1980005,0,1,21.16857,7.713873,322.0941,0.0,0
1980090,1,0,24.39516,15.84384,22.44567,0.0,1
1980110,1,0,35.23351,28.61184,95.37432,0.0,0
1980228,0,1,17.96,8.154085,71.18302,0.0,0
1990029,1,0,30.51903,26.25935,56.69995,0.0,0
1990103,1,0,11.46936,11.35301,2.742957,0.1946092,1
1990187,1,0,36.67685,32.35586,103.1811,0.0,0
1990248,0,1,22.90211,65.63355,452.0097,0.532325,0
2010024,1,0,12.69984,5.682931,8.491868,0.0,0
2010195,1,0,10.91407,11.82785,2.649874,0.0,1
2030080,1,0,22.7693,0.9225419,261.9537,0.0,0
2030110,1,0,37.33218,6.578018,163.6245,0.0,0
2030192,1,0,40.09515,17.19746,47.20551,0.0,0
2040071,1,0,12.25319,5.816928,45.37526,0.0,0
2040079,1,0,39.89472,6.132154,104.9791,0.0,0
2050012,1,0,15.15702,6.908227,78.89015,0.0,0
2050026,1,0,19.57262,10.82109,63.62441,0.0,0
2050054,1,0,40.02932,26.71631,91.56811,0.0,0
2050226,1,0,15.15309,14.14934,19.61854,0.0,1
2060154,1,0,29.38917,4.116111,390.2386,0.0,0
2060225,1,0,34.71635,4.354135,110.8756,0.0,0
2080120,1,0,10.26525,1.362842,125.5891,0.0,0
2090188,1,0,25.07063,6.912645,97.00262,0.0,0
2100148,1,0,38.64384,33.15429,29.14527,0.0,1
2130052,1,0,24.16586,13.44162,48.96276,0.0,1
2130136,1,0,27.48186,17.73184,9.669646,0.0,1
2130137,1,0,17.87695,6.368888,92.65562,0.0,0
2140149,1,0,36.69786,7.104571,91.73521,0.0,0
2140157,0,2,7.591058,8.101356,2.157521,0.0,0
2180159,1,0,17.77538,3.206528,309.4356,0.0,0
2190146,1,0,9.158217,0.7028227,176.3662,0.0,0
2190185,1,0,7.708467,5.198246,17.15085,0.0,0
2190227,1,0,38.98972,25.47599,60.01879,0.0,0
2200053,1,0,12.09844,2.750189,80.43266,0.0,0
2200119,1,0,7.670069,3.623037,35.06747,0.0,0
2210236,1,0,21.61496,12.45005,13.51078,0.0,1
2220070,1,0,29.57456,5.408266,337.8259,0.0,0
2220146,1,0,30.52396,6.56234,204.1582,0.0,0
2220229,1,0,37.92934,8.425601,117.5714,0.0,0
2230179,1,0,42.69798,34.39824,160.9938,0.0,0
2240222,0,1,7.634218,3.549584,92.94651,0.0,0
2240238,1,0,40.65275,33.06518,198.6424,0.0,0
2250035,1,0,39.38252,31.38267,78.40677,0.0,1
2260045,1,0,11.02321,2.066803,109.4358,0.0,0
2260065,1,0,19.40723,3.02518,158.1325,0.0,0
2260135,1,0,8.342714,8.474783,17.65012,0.0,1
2260196,1,0,13.29361,5.72768,28.31397,0.0,0
2270101,1,0,10.27615,2.210264,157.3424,0.0,0
2290078,1,2,7.45518,7.949943,2.037625,0.0,0
2300069,1,0,26.61902,3.613544,338.7256,0.0,0
2300075,1,0,32.33386,0.8576946,696.4069,0.0,0
2330160,1,0,24.40154,11.91072,55.79148,0.009949208,0
2340012,1,0,18.17133,5.986451,119.1941,0.0,0
2340114,1,0,15.90003,0.9190318,229.1482,0.0,0
2340208,1,0,14.57338,4.450543,94.98563,0.0,0
2340237,1,0,12.16579,8.44691,26.67304,0.0,0
2350066,1,0,36.72364,5.211619,114.5143,0.0,0
2350118,1,0,10.49081,9.202131,17.87379,0.0,0
2350131,1,0,15.7189,12.75656,19.32045,0.0,1
2350241,1,0,36.05335,31.85375,8.719532,0.0,1
2360083,1,0,13.11571,3.371654,142.7138,0.0,0
2360112,0,1,8.305846,9.613642,2.403082,0.0,1
2360248,1,0,12.18869,2.273087,99.70847,0.0,0
2370040,1,0,20.60615,1.964243,289.8124,0.0,0
2370112,0,1,10.86395,14.04105,5.376754,0.0,1
2370186,1,0,21.33618,7.103181,153.4394,0.0,0
2380193,1,0,13.65117,5.858365,34.01666,0.0,0
2390038,1,0,37.41647,17.69475,17.25588,0.0,1
2400028,1,0,43.71146,29.62862,16.7092,0.0,1
2400078,1,0,10.81249,7.571567,48.99539,0.0,0
2400095,1,0,18.41415,5.934183,113.8942,0.0,0
2400216,1,0,17.55629,7.646816,97.26511,0.0,0
2410121,0,1,7.394881,9.904057,3.567991,0.0,1
2410204,1,0,22.03447,23.51938,5.399564,0.0,1
2420130,1,0,16.95502,7.955289,65.9656,0.0,0
2430116,1,0,31.41651,13.62104,65.66052,0.0,0
2430199,1,0,10.399,2.595405,63.97193,0.0,0
2430223,1,0,32.71578,18.4719,62.11632,0.0,1
2440004,1,0,28.59141,2.43533,741.8111,0.0,0
2440025,1,0,28.40595,8.23119,104.491,0.0,0
2450156,1,0,15.24484,5.602145,63.80551,0.0,0
2450234,1,0,10.82893,9.633724,15.41785,0.0,1
2460206,1,0,22.38931,5.486488,100.9437,0.0,0
2470061,1,0,21.62135,7.651053,112.098,0.0,0
2470174,1,0,11.65306,5.130262,40.30344,0.0,0
2470194,1,0,36.34229,42.12715,108.9248,0.0,0
2480064,1,0,11.19372,4.546622,22.02471,0.0,0
2480232,1,0,34.11027,23.82294,8.039974,0.0,1
2490003,0,1,7.803921,9.142038,3.034391,0.0,1
2490004,1,0,46.23539,1.802797,702.105,0.0,0
2490070,1,0,20.87529,8.067499,89.97933,0.0,0
2490125,1,0,39.69645,5.887521,312.9167,0.0,0
2490246,0,1,14.38207,16.01971,2.187904,0.0,1
2500164,1,0,30.76637,18.68687,55.80858,0.0,0
2510099,1,0,35.6675,34.29556,15.01573,0.0,1
2510102,1,0,36.89737,29.23009,161.2324,0.0,0
2520055,1,0,25.62601,1.146808,656.2828,0.0,0
